Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.microraft.impl.RaftNodeImpl,getLeaderElectionTimeoutMs,2 -> 123,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> 37b89bcdfadbf54992341951a10eb541df398a14,41,24,17,13,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2,"microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Change Variable Type(44), Extract Method(30), Change Return Type(12), Extract Variable(12), Change Parameter Type(10), Rename Parameter(10), Rename Variable(8), Replace Pipeline With Loop(6), Add Parameter(6), Move Method(6), Extract And Move Method(6), Remove Parameter(5), Rename Method(4), Move And Rename Class(2), Modify Class Annotation(2), Inline Method(2), Parameterize Variable(2), Add Method Annotation(2), Rename Attribute(2), Move And Rename Method(2), Change Method Access Modifier(2), Move Package(1), Move Class(1), Merge Class(1), Change Attribute Type(1), Remove Method Annotation(1), Remove Method Modifier(1)]"
io.microraft.impl.RaftNodeImpl,start,54 -> 55,3973c1acd15c366fd6eb177576ee378e172f4997 -> ef2790fdc993517ccd2b006643f94f8a8fcf9b79,0,0,0,29,7.0,6.0,41.0,43.0,14.0,16.0,6.0,6.0,13,"microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Add Parameter(18), Extract Method(13), Rename Attribute(6), Remove Parameter(6), Rename Method(4), Change Parameter Type(4), Rename Parameter(4), Change Attribute Type(4), Change Return Type(4), Remove Method Annotation(3), Change Method Access Modifier(2)]"
io.microraft.impl.local.LocalRaftGroup,LocalRaftGroup,2 -> 26,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> 2bb70f32a7a8535b1bcd71ea18c8f87687edc108,0,0,0,77,10.0,7.0,54.0,18.0,17.0,3.0,9.0,3.0,17,"microraft/src/test/java/io/microraft/impl/local/LocalRaftGroup.java: [Change Variable Type(12), Rename Variable(12), Change Parameter Type(10), Change Return Type(6), Extract Method(4), Rename Method(3), Rename Parameter(2), Move Package(1), Move Class(1), Rename Attribute(1), Change Attribute Type(1)]"
io.microraft.impl.LinearizableQueryTest,when_followersInstallSnapshot_then_queryIsExecutedOnLeaderWithInstallSnapshotResponse,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,12.0,13.0,21.0,20.0,28.0,29.0,2.0,2.0,28,"microraft/src/test/java/io/microraft/impl/LinearizableQueryTest.java: [Change Variable Type(26), Extract Variable(12), Rename Variable(4), Remove Variable Modifier(2), Move Package(1), Move Class(1), Rename Method(1), Extract Superclass(1)]"
io.microraft.impl.RaftTest,testLeaderElection,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,4.0,4.0,17.0,14.0,12.0,10.0,2.0,2.0,12,"microraft/src/test/java/io/microraft/impl/RaftTest.java: [Change Variable Type(44), Change Thrown Exception Type(32), Rename Variable(28), Extract Variable(3), Inline Variable(2), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.RaftNodeImpl$RaftNodeBuilderImpl,setInitialGroupMembers,2 -> 40,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> 2987a2d8e875dc6ecf076434af2b0c78d938baf0,0,0,0,120,4.0,4.0,8.0,7.0,1.0,1.0,2.0,2.0,1,"microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Change Variable Type(44), Extract Method(30), Change Return Type(12), Extract Variable(12), Change Parameter Type(10), Rename Parameter(10), Rename Variable(8), Replace Pipeline With Loop(6), Add Parameter(6), Move Method(6), Extract And Move Method(6), Remove Parameter(5), Rename Method(4), Move And Rename Class(2), Modify Class Annotation(2), Inline Method(2), Parameterize Variable(2), Add Method Annotation(2), Rename Attribute(2), Move And Rename Method(2), Change Method Access Modifier(2), Move Package(1), Move Class(1), Merge Class(1), Change Attribute Type(1), Remove Method Annotation(1), Remove Method Modifier(1)]"
io.microraft.impl.RaftNodeImpl,transferLeadership,54 -> 56,3973c1acd15c366fd6eb177576ee378e172f4997 -> 9fd7e935a9fef5f5642c8a075daa623e55fc3fa1,0,0,0,17,5.0,6.0,5.0,6.0,3.0,2.0,1.0,1.0,2,"microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Add Parameter(18), Extract Method(13), Rename Attribute(6), Remove Parameter(6), Rename Method(4), Change Parameter Type(4), Rename Parameter(4), Change Attribute Type(4), Change Return Type(4), Remove Method Annotation(3), Change Method Access Modifier(2)]"
io.microraft.impl.MembershipChangeTest,when_newJoiningNodeFirstReceivesSnapshot_then_itInstallsSnapshot,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,12.0,11.0,22.0,21.0,27.0,26.0,2.0,2.0,27,"microraft/src/test/java/io/microraft/impl/MembershipChangeTest.java: [Change Thrown Exception Type(28), Change Variable Type(24), Rename Variable(16), Move Package(1), Move Class(1), Rename Method(1), Extract Superclass(1)]"
io.microraft.impl.SnapshotTest,when_followerMissesTheLastEntryThatGoesIntoTheSnapshot_then_itCatchesUpWithoutInstallingSnapshot,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,12.0,11.0,36.0,34.0,25.0,25.0,5.0,5.0,25,"microraft/src/test/java/io/microraft/impl/SnapshotTest.java: [Change Variable Type(32), Change Thrown Exception Type(22), Rename Variable(20), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.RaftNodeImpl,canQueryLinearizable,3 -> 78,0f965de79db9ab720f31cb70391d675542c3d0ec -> 2d0988d4249af4c41f7fa4af89071fb2c466eee0,0,0,0,60,6.0,5.0,14.0,11.0,11.0,10.0,6.0,5.0,12,"microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Change Variable Type(44), Extract Method(30), Change Return Type(12), Extract Variable(12), Change Parameter Type(10), Rename Parameter(10), Rename Variable(8), Replace Pipeline With Loop(6), Add Parameter(6), Move Method(6), Extract And Move Method(6), Remove Parameter(5), Rename Method(4), Move And Rename Class(2), Modify Class Annotation(2), Inline Method(2), Parameterize Variable(2), Add Method Annotation(2), Rename Attribute(2), Move And Rename Method(2), Change Method Access Modifier(2), Move Package(1), Move Class(1), Merge Class(1), Change Attribute Type(1), Remove Method Annotation(1), Remove Method Modifier(1)]"
