Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
services.moleculer.transporter.TcpTransporter,start,154 -> 157,fdfd5ad8984a58662f9205e5fb86eaabf305f082 -> 67e4f244555f98945466ca209f7cc30536fd1b49,155,59,96,13,3.0,4.0,30.0,13.0,13.0,5.0,5.0,1.0,1,"src/main/java/services/moleculer/transporter/TcpTransporter.java: [Extract Attribute(24), Extract Method(20), Rename Parameter(4), Change Parameter Type(4)]"
services.moleculer.transporter.MqttTransporter,start,131 -> 157,54f4194419f392049673478a7234e6acf59ad7cd -> 67e4f244555f98945466ca209f7cc30536fd1b49,0,0,0,13,2.0,3.0,28.0,15.0,10.0,4.0,5.0,3.0,12,"src/main/java/services/moleculer/transporter/MqttTransporter.java: [Extract Method(24), Change Attribute Type(10), Rename Attribute(8), Encapsulate Attribute(4)]"
services.moleculer.config.ServiceBrokerConfig,setExecutor,62 -> 215,fff362794e27ddfebda1aa19fcf645a9d07e4834 -> 734d3d52d5f96e70f3887bdba620dcc5c9afdcbd,115,115,0,141,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1,"src/main/java/services/moleculer/config/ServiceBrokerConfig.java: [Change Return Type(6), Rename Method(4), Rename Parameter(4), Change Parameter Type(4), Remove Parameter(2), Change Method Access Modifier(2), Move And Rename Method(1), Move Method(1)]"
services.moleculer.transporter.TcpTransporter,stop,134 -> 136,7f4986b341a204622e2954089a3d409060e4b05f -> 52633a0164af7ddb55a30329031c2289b70cecd1,0,0,0,2,1.0,1.0,7.0,3.0,2.0,1.0,2.0,1.0,1,"src/main/java/services/moleculer/transporter/TcpTransporter.java: [Extract Attribute(24), Extract Method(20), Rename Parameter(4), Change Parameter Type(4)]"
services.moleculer.transporter.RedisTransporter,reconnect,75 -> 311,3c2ae5cdde77626fb350a819eb66e37ac80b7594 -> 6dba9792f262e52e93ea3b20630319c272ba72b7,0,0,0,31,2.0,1.0,11.0,11.0,6.0,6.0,1.0,1.0,2,"src/main/java/services/moleculer/transporter/RedisTransporter.java: [Extract Method(16), Change Method Access Modifier(2)]"
services.moleculer.context.CallingOptions,nodeID,112 -> 115,5f1c32db752b508f7c2c3e979d33863646f7a9cc -> 8a4de407ad26c5371aca83d6807ed3b7d489e0b1,55,23,32,17,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,1,"src/main/java/services/moleculer/context/CallingOptions.java: [Extract Class(13), Move Attribute(6), Remove Attribute Modifier(6), Change Return Type(4), Move Method(4), Add Parameter(3), Add Method Modifier(2)]"
services.moleculer.config.ServiceBrokerConfig,(initializer,62 -> 218,fff362794e27ddfebda1aa19fcf645a9d07e4834 -> 5f8e35cf900bb25c390ed47078e9ef5bced94d07,54,49,5,44,1.0,2.0,8.0,12.0,2.0,1.0,2.0,4.0,9,"src/main/java/services/moleculer/config/ServiceBrokerConfig.java: [Change Return Type(6), Rename Method(4), Rename Parameter(4), Change Parameter Type(4), Remove Parameter(2), Change Method Access Modifier(2), Move And Rename Method(1), Move Method(1)]"
services.moleculer.transporter.tcp.TcpWriter,send,152 -> 155,f428d3c752cca0f4fb678c1f24d7177b9850b868 -> 53d252461ae141eeb452fe05f892d181d096acfc,341,157,184,5,5.0,3.0,27.0,37.0,9.0,11.0,5.0,6.0,13,"src/main/java/services/moleculer/transporter/tcp/TcpWriter.java: [Extract Method(43), Inline Method(9), Add Parameter(3)]"
services.moleculer.service.DefaultServiceRegistry,generateDescriptor,79 -> 83,d9972110b2f33f9f7324a707cdb901c385809eef -> 22ef41405e697371e595ac2ef367970eb6ea7034,142,69,73,26,5.0,4.0,76.0,76.0,28.0,28.0,12.0,12.0,28,"src/main/java/services/moleculer/service/DefaultServiceRegistry.java: [Extract Method(54), Rename Variable(4)]"
services.moleculer.transporter.TcpTransporter,processGossipRequest,186 -> 187,05d46e587f7680175b4b2a314ae5a0070a09d4a9 -> 30aa4471a1585c4792abcca09c669501be219ae4,6,3,3,9,10.0,8.0,106.0,109.0,29.0,29.0,29.0,28.0,10,"src/main/java/services/moleculer/transporter/TcpTransporter.java: [Remove Method Modifier(2), Move Method(2)]"
services.moleculer.context.DefaultContextFactory,create,40 -> 63,172f5de32559d1611081b5a62cba27e3cd69d6b0 -> 563c2d1a424b70e2468c65f4e060863d09733a22,29,6,23,99,4.0,4.0,30.0,11.0,7.0,3.0,9.0,4.0,7,src/main/java/services/moleculer/context/DefaultContextFactory.java: [Move Method(1)]
services.moleculer.context.Context,call,64 -> 244,46958e69fddc9bd25276a73127d998a27c2d4a1c -> ec231c8e1d14e6f41377cf2dd34c4dabcad55cca,174,170,4,10,5.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2,"src/main/java/services/moleculer/context/Context.java: [Rename Parameter(8), Split Parameter(7), Rename Variable(6), Split Attribute(5), Remove Thrown Exception Type(4), Remove Method Modifier(2), Change Attribute Access Modifier(1), Remove Attribute Modifier(1), Move Attribute(1), Move Method(1)]"
services.moleculer.transporter.TcpTransporter,received,151 -> 157,585037231e4083f5e8a362403efc2e4ecfef50cf -> 67e4f244555f98945466ca209f7cc30536fd1b49,155,59,96,13,7.0,6.0,68.0,52.0,17.0,12.0,16.0,12.0,8,"src/main/java/services/moleculer/transporter/TcpTransporter.java: [Inline Method(42), Change Variable Type(36), Rename Variable(24), Extract Method(21), Parameterize Variable(8), Extract Variable(5), Localize Parameter(4), Change Parameter Type(4), Replace Attribute With Variable(4), Add Parameter(3), Remove Parameter(3), Rename Method(2), Replace Attribute(1)]"
services.moleculer.Promise,Promise,41 -> 42,849d087bd2ac7453ac1d7c56076f138d50df5033 -> 1ef27b8f12dafb40521fc83fe627d0abae23a0fb,245,217,28,2,2.0,3.0,6.0,4.0,1.0,1.0,2.0,1.0,1,"src/main/java/services/moleculer/Promise.java: [Extract Class(5), Change Return Type(4), Add Method Modifier(4), Extract And Move Method(4)]"
services.moleculer.eventbus.DefaultEventbus,emit,559 -> 561,bbd644c457650f3086281feac0ac6afd7232ce97 -> 105eadaa8e1a85528abc440fdc58d8bd4a233121,20,10,10,25,5.0,4.0,16.0,16.0,6.0,5.0,5.0,5.0,33,"src/main/java/services/moleculer/eventbus/DefaultEventbus.java: [Extract Method(418), Extract Variable(10), Remove Method Annotation(3), Extract Interface(2)]"
services.moleculer.transporter.AmqpTransporter,subscribe,103 -> 293,18bc9a3547417bcffa8b40b5aaa5b17a7a3a017e -> e077958c125ddabce4a992ba7110bd5a72b3f527,217,133,84,7,3.0,2.0,49.0,61.0,5.0,7.0,4.0,4.0,7,"src/main/java/services/moleculer/transporter/AmqpTransporter.java: [Extract Method(35), Change Attribute Type(2)]"
services.moleculer.transporter.tcp.TcpWriter,connect,152 -> 162,f428d3c752cca0f4fb678c1f24d7177b9850b868 -> a2e5ed89f6e45f4714d4620561f0d6d4c9067af5,27,18,9,13,2.0,1.0,11.0,9.0,7.0,5.0,3.0,3.0,4,"src/main/java/services/moleculer/transporter/tcp/TcpWriter.java: [Extract Method(43), Inline Method(9), Add Parameter(3)]"
