Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
swim.runtime.router.PartTable,openMetaUplink,149 -> 287,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 16b10004b33b3378615f32034f46796542e3ebf9,0,0,0,85,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTable.java: [Extract Variable(12)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableHost.java: [Change Parameter Type(20), Rename Parameter(20), Remove Parameter(12), Change Return Type(4), Parameterize Attribute(4), Extract Class(3), Add Parameter(3), Rename Method(2), Move Attribute(1), Change Attribute Access Modifier(1)]"
swim.uri.UriAuthority,portNumber,154 -> 189,fca5f2b16f388aaf1f237506f1eaac131fd24122 -> e852cb1e1c5d7142ac0a8e258e99b7b23adc1be7,0,0,0,14,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1,swim-system-java/swim-core-java/swim.uri/src/main/java/swim/uri/UriAuthority.java: [Extract Superclass(2)]
swim.runtime.HttpProxy,warnDown,53 -> 322,3bc69239d6ae8051df994cae92636687f8ca560a -> 315d929e0675ee8091d44edd9faae88782a6e48d,0,0,0,17,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/HttpProxy.java: [Extract Class(13), Move Method(10), Extract Superclass(1), Remove Method Modifier(1)]"
swim.runtime.HostProxy,store,24 -> 51,3054ca5f6c976ea053ed18976b49a44cc186db1e -> d22db6d962a17c4d4f5820df8785a33965cf767f,0,0,0,173,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-java/swim-core-java/swim.runtime/src/main/java/swim/runtime/HostProxy.java: [Extract Class(12), Move Method(10), Change Return Type(4), Rename Method(2), Add Method Annotation(1)]"
swim.api.auth.AbstractAuthenticator,schedule,48 -> 184,c747c396e535fe37d99b72a8b806cab7be6c1886 -> 99e455460ed9c534c9210e81a723969d8bedbf25,0,0,0,7,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.api/src/main/java/swim/api/auth/AbstractAuthenticator.java: [Rename Method(2), Change Return Type(2), Change Parameter Type(2), Add Method Annotation(2), Extract Class(2), Move And Rename Class(1), Split Package(1), Change Attribute Type(1), Remove Attribute Modifier(1)]"
swim.runtime.http.HttpLaneModel,willRespond,53 -> 326,3bc69239d6ae8051df994cae92636687f8ca560a -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/http/HttpLaneModel.java: [Change Parameter Type(16), Extract Subclass(9), Move And Rename Class(4), Change Attribute Type(4), Change Method Access Modifier(4), Push Down Method(2)]"
swim.runtime.DownlinkView,trace,53 -> 322,3bc69239d6ae8051df994cae92636687f8ca560a -> 315d929e0675ee8091d44edd9faae88782a6e48d,0,0,0,17,3.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/DownlinkView.java: [Pull Up Method(29), Change Method Access Modifier(4), Pull Up Attribute(4), Extract Class(3), Extract Superclass(1)]"
swim.deflate.DeflateSpec,deflateImage,207 -> 210,ae83a1550e26cf7f7289c119d0dcb07cec4cb15b -> 3468582b2f72fa17b5c9cee4148cac675fca25dd,0,0,0,1,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2,"swim-system-java/swim-core-java/swim.deflate/src/test/java/swim/deflate/DeflateSpec.java: [Remove Variable Modifier(2), Extract Method(2), Add Parameter(1), Move Method(1)]"
swim.runtime.lane.JoinMapLaneModel,put,290 -> 326,0c92cb6d6cb9cfab7b7ff30fbc41d8a39ae22ed9 -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,7.0,6.0,20.0,20.0,6.0,6.0,4.0,4.0,6,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/lane/JoinMapLaneModel.java: [Change Method Access Modifier(22), Remove Parameter(9), Change Parameter Type(4), Rename Method(2), Extract Superclass(2)]"
swim.api.service.AbstractService,error,48 -> 172,c747c396e535fe37d99b72a8b806cab7be6c1886 -> 1929dc5432dcd4eeb7d86b61a8674d5fed01b769,0,0,0,81,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.api/src/main/java/swim/api/service/AbstractService.java: [Rename Method(2), Change Parameter Type(2), Change Return Type(2), Move And Rename Class(1), Rename Package(1), Remove Class Modifier(1), Change Attribute Type(1), Extract Class(1)]"
